;Time;Treasury_Yield;Federal_Funds_Rate;Inflation;SP500;Apple
0;01/12/2022;4.29;4.1;-0.0030700914645410723;3839.5;0.0
1;01/11/2022;4.5;3.78;-0.0010100264418882049;4080.110107;0.0
2;01/10/2022;4.38;3.08;0.004056494434112315;3871.97998;1.0
3;01/09/2022;3.86;2.56;0.002150784513000937;3585.620117;0.0
4;01/08/2022;3.25;2.33;-0.0003543992763504914;3955.0;0.0
5;01/07/2022;3.04;1.68;-0.00011811913833765257;4130.290039;1.0
6;01/06/2022;3.0;1.21;0.01373607575881978;3785.379883;0.0
7;01/05/2022;2.62;0.77;0.011023523999598809;4132.149902;0.0
8;01/04/2022;2.54;0.33;0.00558253102565516;4131.930176;0.0
9;01/03/2022;1.91;0.2;0.013351379548562685;4530.410156;1.0
10;01/02/2022;1.44;0.08;0.009133979256476956;4373.939941;0.0
11;01/01/2022;0.98;0.08;0.008414573783545324;4515.549805;0.0
12;01/12/2021;0.68;0.08;0.0030725171614835937;4766.180176;1.0
13;01/11/2021;0.51;0.08;0.004913427504347536;4567.0;1.0
14;01/10/2021;0.39;0.08;0.008308118552003195;4605.379883;1.0
15;01/09/2021;0.24;0.08;0.0027159708590582744;4307.540039;0.0
16;01/08/2021;0.22;0.09;0.0020659113636114675;4522.680176;1.0
17;01/07/2021;0.22;0.1;0.004810523526293944;4395.259766;1.0
18;01/06/2021;0.2;0.08;0.00929066290235715;4297.5;1.0
19;01/05/2021;0.16;0.06;0.00801710515476278;4204.109863;0.0
20;01/04/2021;0.16;0.07;0.008218909154060051;4181.169922;1.0
21;01/03/2021;0.15;0.07;0.0070832731337495325;3972.889893;1.0
22;01/02/2021;0.12;0.08;0.005474382793923192;3811.149902;0.0
23;01/01/2021;0.13;0.09;0.004253783487027512;3714.23999;0.0
24;01/12/2020;0.14;0.09;0.000941478467042507;3756.070068;1.0
25;01/11/2020;0.17;0.09;-0.0006106272178441089;3621.629883;1.0
26;01/10/2020;0.15;0.09;0.00041493775933611535;3269.959961;0.0
27;01/09/2020;0.13;0.09;0.0013927469432665931;3363.0;0.0
28;01/08/2020;0.14;0.1;0.003153210524081371;3500.310059;1.0
29;01/07/2020;0.15;0.09;0.0050582435016698155;3271.120117;1.0
30;01/06/2020;0.19;0.08;0.005472046927775299;3100.290039;1.0
31;01/05/2020;0.17;0.05;1.9501616684005367e-05;3044.310059;1.0
32;01/04/2020;0.22;0.05;-0.006686941866997265;2912.429932;1.0
33;01/03/2020;0.45;0.65;-0.002176451031784644;2584.590088;0.0
34;01/02/2020;1.33;1.58;0.002740618131495376;2954.219971;0.0
35;01/01/2020;1.52;1.55;0.0038797699378147754;3225.52002;1.0
36;01/12/2019;1.61;1.55;-0.0009097695250537979;3230.780029;1.0
37;01/11/2019;1.61;1.55;-0.0005362430346691878;3140.97998;1.0
38;01/10/2019;1.55;1.83;0.0022861905522298695;3037.560059;1.0
39;01/09/2019;1.65;2.04;0.000783448576930058;2976.73999;1.0
40;01/08/2019;1.57;2.13;-5.066823608293084e-05;2926.459961;0.0
41;01/07/2019;1.84;2.4;0.0016709416224532942;2980.379883;1.0
42;01/06/2019;1.81;2.38;0.0001991471814816071;2941.76001;1.0
43;01/05/2019;2.21;2.39;0.002128758589384314;2752.060059;0.0
44;01/04/2019;2.34;2.42;0.0052950016128905505;2945.830078;1.0
45;01/03/2019;2.41;2.41;0.005641358356805977;2834.399902;1.0
46;01/02/2019;2.5;2.4;0.004227053140096703;2784.48999;1.0
47;01/01/2019;2.54;2.4;0.001906596665246942;2704.100098;1.0
48;01/12/2018;2.68;2.27;-0.003193962815131079;2506.850098;0.0
49;01/11/2018;2.86;2.2;-0.003349348518101034;2760.169922;0.0
50;01/10/2018;2.86;2.19;0.0017667634557259296;2711.73999;0.0
51;01/09/2018;2.77;1.95;0.0011620251758901843;2913.97998;0.0
52;01/08/2018;2.64;1.91;0.0005555423283572072;2901.52002;1.0
53;01/07/2018;2.61;1.91;6.746326228524225e-05;2816.290039;1.0
54;01/06/2018;2.53;1.82;0.0015938757015438354;2718.370117;0.0
55;01/05/2018;2.51;1.7;0.004158916925434857;2705.27002;1.0
56;01/04/2018;2.38;1.69;0.003975091563348975;2648.050049;0.0
57;01/03/2018;2.28;1.51;0.002261125904149098;2640.870117;0.0
58;01/02/2018;2.18;1.42;0.004534689974865649;2713.830078;1.0
59;01/01/2018;2.03;1.41;0.005447745452775345;2823.810059;0.0
60;01/12/2017;1.84;1.3;-0.0005878322772622836;2673.610107;0.0
61;01/11/2017;1.7;1.16;2.432468590749414e-05;2647.580078;1.0
62;01/10/2017;1.55;1.15;-0.0006320421037277418;2575.26001;1.0
63;01/09/2017;1.38;1.15;0.005294905893230189;2519.360107;0.0
64;01/08/2017;1.34;1.16;0.0029944522971085113;2471.649902;1.0
65;01/07/2017;1.37;1.15;-0.0006899226388520795;2470.300049;1.0
66;01/06/2017;1.34;1.04;0.0009071110148611279;2423.409912;0.0
67;01/05/2017;1.3;0.91;0.0008547218268963503;2411.800049;1.0
68;01/04/2017;1.24;0.9;0.0029655333653266936;2384.199951;0.0
69;01/03/2017;1.31;0.79;0.0008127978719473039;2362.719971;1.0
70;01/02/2017;1.2;0.66;0.003146117386416556;2363.639893;1.0
71;01/01/2017;1.21;0.65;0.005827727890254857;2278.870117;1.0
72;01/12/2016;1.2;0.54;0.00032732139231739113;2238.830078;1.0
73;01/11/2016;0.98;0.41;-0.0015554608673349277;2198.810059;0.0
74;01/10/2016;0.84;0.4;0.0012467485130142988;2126.149902;1.0
75;01/09/2016;0.77;0.4;0.0024039958646289075;2168.27002;1.0
76;01/08/2016;0.74;0.4;0.0009184301078843844;2170.949951;1.0
77;01/07/2016;0.67;0.39;-0.001618136404749914;2173.600098;1.0
78;01/06/2016;0.73;0.38;0.0032843661672819985;2098.860107;0.0
79;01/05/2016;0.82;0.37;0.004045790998115103;2096.949951;1.0
80;01/04/2016;0.77;0.37;0.004741067979103987;2065.300049;0.0
81;01/03/2016;0.88;0.36;0.00430600014339282;2059.73999;1.0
82;01/02/2016;0.73;0.38;0.0008230765334548666;1932.22998;0.0
83;01/01/2016;0.9;0.34;0.0016531022090687712;1940.23999;0.0
84;01/12/2015;0.98;0.24;-0.0034170964371187137;2043.939941;0.0
85;01/11/2015;0.88;0.12;-0.0021106803790814804;2080.409912;0.0
86;01/10/2015;0.64;0.12;-0.0004496837504465289;2079.360107;1.0
87;01/09/2015;0.71;0.14;-0.0015567565753034178;1920.030029;0.0
88;01/08/2015;0.7;0.14;-0.0014162762828194536;1972.180054;0.0
89;01/07/2015;0.67;0.13;6.704715929563243e-05;2103.840088;0.0
90;01/06/2015;0.69;0.13;0.003502869998528199;2063.110107;0.0
91;01/05/2015;0.61;0.12;0.005097232025494686;2107.389893;1.0
92;01/04/2015;0.54;0.12;0.0020328732545876857;2085.51001;1.0
93;01/03/2015;0.64;0.11;0.005951721611097346;2067.889893;0.0
94;01/02/2015;0.62;0.11;0.004343044923772137;2104.5;1.0
95;01/01/2015;0.55;0.11;-0.004705892373473324;1994.98999;1.0
96;01/12/2014;0.64;0.12;-0.0056701009100109615;2058.899902;0.0
97;01/11/2014;0.53;0.09;-0.0053994179410611935;2067.560059;1.0
98;01/10/2014;0.45;0.09;-0.0025122778125538825;2018.050049;1.0
99;01/09/2014;0.57;0.09;0.0007525688243109246;1972.290039;0.0
100;01/08/2014;0.47;0.09;-0.0016705141657922188;2003.369995;1.0
101;01/07/2014;0.51;0.09;-0.00039019396416084935;1930.670044;1.0
102;01/06/2014;0.45;0.1;0.0018621269440940883;1960.22998;1.0
103;01/05/2014;0.39;0.09;0.003492609840048605;1923.569946;1.0
104;01/04/2014;0.42;0.09;0.0032967544531577165;1883.949951;1.0
105;01/03/2014;0.4;0.08;0.006440044126228274;1872.339966;1.0
106;01/02/2014;0.33;0.07;0.0036979086509687626;1859.449951;1.0
107;01/01/2014;0.39;0.07;0.0037202476732360584;1782.589966;0.0
108;01/12/2013;0.34;0.09;-8.581149788252325e-05;1848.359985;1.0
109;01/11/2013;0.3;0.08;-0.0020424241905235107;1805.810059;1.0
110;01/10/2013;0.34;0.09;-0.002575283259804691;1756.540039;1.0
111;01/09/2013;0.4;0.08;0.0011630044852635846;1681.550049;0.0
112;01/08/2013;0.36;0.08;0.001202931557047235;1632.969971;1.0
113;01/07/2013;0.34;0.09;0.00039399753323289094;1685.72998;1.0
114;01/06/2013;0.33;0.09;0.002399708085599594;1606.280029;0.0
115;01/05/2013;0.25;0.11;0.0017804077735871229;1630.73999;1.0
116;01/04/2013;0.23;0.15;-0.0010396394770870773;1597.569946;1.0
117;01/03/2013;0.26;0.14;0.00261450858437497;1569.189941;1.0
118;01/02/2013;0.27;0.15;0.008190029529268698;1514.680054;0.0
119;01/01/2013;0.27;0.14;0.002957304192925998;1498.109985;0.0
120;01/12/2012;0.26;0.16;-0.0026930644902072552;1426.189941;0.0
121;01/11/2012;0.27;0.16;-0.0047380866948819305;1416.180054;0.0
122;01/10/2012;0.28;0.16;-0.0003889251405532391;1412.160034;0.0
123;01/09/2012;0.26;0.14;0.004462212267611284;1440.670044;1.0
124;01/08/2012;0.27;0.13;0.0055651581814371515;1406.579956;1.0
125;01/07/2012;0.25;0.16;-0.0016297858618255136;1379.319946;1.0
126;01/06/2012;0.29;0.16;-0.0014663968844504888;1362.160034;1.0
127;01/05/2012;0.29;0.16;-0.0011734793663211866;1310.329956;0.0
128;01/04/2012;0.29;0.14;0.0030210295040804043;1397.910034;0.0
129;01/03/2012;0.34;0.13;0.0075945586239309195;1408.469971;1.0
130;01/02/2012;0.28;0.1;0.004402973551276196;1365.680054;1.0
131;01/01/2012;0.24;0.08;0.004400191428267552;1312.410034;1.0
132;01/12/2011;0.26;0.07;-0.0024665163771382787;1257.599976;1.0
133;01/11/2011;0.25;0.08;-0.0008435613304419754;1246.959961;0.0
134;01/10/2011;0.28;0.07;-0.00206268263335824;1253.300049;1.0
135;01/09/2011;0.21;0.08;0.001518462115694553;1131.420044;0.0
136;01/08/2011;0.23;0.1;0.0027575889023644905;1218.890015;0.0
137;01/07/2011;0.41;0.07;0.0008860456667936161;1292.280029;1.0
138;01/06/2011;0.41;0.09;-0.001070967056699254;1320.640015;0.0
139;01/05/2011;0.56;0.09;0.004704187527233567;1345.199951;0.0
140;01/04/2011;0.73;0.1;0.006439429535457105;1363.609985;1.0
141;01/03/2011;0.7;0.14;0.009751072030509449;1325.829956;0.0
142;01/02/2011;0.77;0.16;0.004931365025451402;1327.219971;1.0
143;01/01/2011;0.61;0.17;0.0047632300539741995;1286.119995;1.0
144;01/12/2010;0.62;0.18;0.001718440789203095;1257.640015;1.0
145;01/11/2010;0.45;0.19;0.00042064642381949024;1180.550049;1.0
146;01/10/2010;0.38;0.19;0.001245198888476965;1183.26001;1.0
147;01/09/2010;0.48;0.19;0.0005817362307155865;1141.199951;1.0
